"job_title","class_code","soc_code","soc_title","salary_range","department","category","description","source_url"
"Administrative Secretary","0101","43-6014","Secretaries and Administrative Assistants","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Administrative Services Manager","0102","11-3012","Administrative Services Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Administrative Analyst","0103","13-1111","Management Analysts","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Administrative Assistant","0104","43-6014","Secretaries and Administrative Assistants","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Agency Director","0110","11-1021","General and Operations Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Accountant I","0201","13-2011","Accountants and Auditors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Accountant II","0202","13-2011","Accountants and Auditors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Accountant III","0203","13-2011","Accountants and Auditors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Accountant Supervisor","0204","11-3031","Financial Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Accounting Technician","0205","43-3031","Bookkeeping, Accounting, and Auditing Clerks","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Auditor I","0210","13-2011","Accountants and Auditors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Auditor II","0211","13-2011","Accountants and Auditors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Auditor III","0212","13-2011","Accountants and Auditors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Budget Analyst I","0220","13-2031","Budget Analysts","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Budget Analyst II","0221","13-2031","Budget Analysts","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Budget Director","0222","11-3031","Financial Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Financial Examiner","0230","13-2061","Financial Examiners","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Fiscal Officer","0231","11-3031","Financial Managers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Revenue Agent","0240","13-2081","Tax Examiners and Collectors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Tax Examiner","0241","13-2081","Tax Examiners and Collectors","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Computer Operator","0301","43-9011","Computer Operators","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Computer Programmer I","0302","15-1251","Computer Programmers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Computer Programmer II","0303","15-1251","Computer Programmers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Computer Programmer III","0304","15-1251","Computer Programmers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
