"JobCode","JobTitleAbbreviation","JobTitleFull","OccupationalGroupText","EEOText","WorkFunction","WorkLevel","SupervisionReceived"
"0101","Admin Secy","Administrative Secretary","Secretaries and Administrative Assistants","Administrative Support","Administrative support, records management, and office operations","Professional","Moderate - Regular supervision with some independence"
"0102","Admin Svcs Mgr","Administrative Services Manager","Administrative Services Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Management","General - Reports to Director/Executive"
"0103","Admin Analyst","Administrative Analyst","Management Analysts","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Limited - Works independently with periodic review"
"0104","Admin Asst","Administrative Assistant","Secretaries and Administrative Assistants","Administrative Support","Administrative support, records management, and office operations","Support","Close - Direct supervision, work reviewed frequently"
"0110","Agency Dir","Agency Director","General and Operations Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Executive","Minimal - Reports to Executive Leadership"
"0201","Accountant I","Accountant I","Accountants and Auditors","Professionals","Business operations analysis, financial management, and administrative functions","Entry Level","Close - Direct supervision, work reviewed frequently"
"0202","Accountant II","Accountant II","Accountants and Auditors","Professionals","Business operations analysis, financial management, and administrative functions","Entry Level","Moderate - Regular supervision with some independence"
"0203","Accountant III","Accountant III","Accountants and Auditors","Professionals","Business operations analysis, financial management, and administrative functions","Entry Level","Limited - Works independently with periodic review"
"0204","Accountant Supv","Accountant Supervisor","Financial Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Supervisory","General - Reports to Manager"
"0205","Accounting Tech","Accounting Technician","Bookkeeping, Accounting, and Auditing Clerks","Administrative Support","Administrative support, records management, and office operations","Technical","Moderate - Regular supervision with some independence"
"0210","Auditor I","Auditor I","Accountants and Auditors","Professionals","Business operations analysis, financial management, and administrative functions","Entry Level","Close - Direct supervision, work reviewed frequently"
"0211","Auditor II","Auditor II","Accountants and Auditors","Professionals","Business operations analysis, financial management, and administrative functions","Entry Level","Moderate - Regular supervision with some independence"
"0212","Auditor III","Auditor III","Accountants and Auditors","Professionals","Business operations analysis, financial management, and administrative functions","Entry Level","Limited - Works independently with periodic review"
